xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-0.05,-0.13,0.99,0.31,0.55,0.18,1
-0.05,-0.14,0.99,0.55,0.18,0.31,1
-0.05,-0.13,0.99,0.61,0.31,0.49,1
-0.05,-0.13,0.99,0.73,0.24,0.49,1
-0.05,-0.14,0.99,0.67,0.24,0.61,1
-0.05,-0.14,0.99,0,0.43,0.49,1
-0.05,-0.13,0.99,0,0.43,-0.18,1
-0.05,-0.14,0.99,0.61,0.24,0.37,1
-0.05,-0.14,0.99,0.67,0.37,0.24,1
-0.05,-0.14,0.99,0.24,0.31,0.31,1
-0.05,-0.14,0.99,0.79,0.37,0.24,1
-0.05,-0.13,0.99,0.55,0.31,0.31,1
-0.05,-0.14,0.99,0.55,0.37,0.31,1
-0.05,-0.14,0.99,0.85,0.43,0.49,1
-0.05,-0.14,0.99,0.37,0.18,0,1
-0.06,-0.14,0.99,0.43,0.12,0.12,1
-0.06,-0.13,0.99,-0.49,0.06,0.49,1
-0.05,-0.13,0.99,-0.12,0.24,0.12,1
-0.05,-0.13,0.99,0.18,0.31,0.31,1
-0.05,-0.13,0.99,0.73,0.12,0.37,1
-0.05,-0.13,0.99,0.85,0.43,0.49,1
-0.05,-0.14,0.99,0.85,0.06,1.04,1
-0.05,-0.13,0.99,0.55,0.24,0.24,1
-0.05,-0.13,0.99,0.67,0.24,0.24,1
-0.05,-0.14,0.99,0.43,0.18,0.49,1
-0.05,-0.13,0.99,0.37,0.24,0.49,1
-0.05,-0.13,0.99,0.55,0.24,0.12,1
-0.05,-0.13,0.99,0.85,0.49,0.24,1
-0.05,-0.13,0.99,0.67,0.31,0.61,1
-0.05,-0.13,0.99,0.55,0.12,0.43,1
-0.05,-0.13,0.99,0.49,0.43,0.37,1
-0.05,-0.13,0.99,0.92,0.18,0.49,1
-0.05,-0.13,0.99,-0.18,0.24,0,1
-0.05,-0.13,0.99,0.55,0.49,0.49,1
-0.05,-0.14,0.99,0,0.24,0.12,1
-0.05,-0.13,0.99,0.12,0.31,0.12,1
-0.05,-0.13,0.99,0.18,0.31,0.12,1
-0.05,-0.13,0.99,0.18,0.31,0.31,1
-0.06,-0.11,0.99,-1.22,0.06,0.12,1
-0.05,-0.12,0.99,0.61,0.18,0.18,1
-0.06,-0.12,0.99,1.34,0.55,0.67,1
-0.05,-0.12,0.99,0.24,0.37,0.37,1
-0.05,-0.12,0.99,0.43,0.24,0.31,1
-0.06,-0.12,0.99,0.49,0.37,0.43,1
-0.05,-0.14,0.98,0.37,-0.37,0,1
-0.07,-0.13,0.99,0.31,0.55,-1.89,1
-0.07,-0.11,0.99,0.98,0.55,-0.31,1
-0.06,-0.12,0.99,1.28,0.67,0.55,1
-0.06,-0.12,1,0.67,0.06,0.67,1
-0.05,-0.13,0.99,0.73,0.18,0.31,1
-0.05,-0.12,0.99,-0.12,0.18,0.24,1
-0.05,-0.12,0.99,0.24,0.37,0.24,1
-0.05,-0.13,0.99,0.61,0.24,0.37,1
-0.05,-0.12,0.99,0.18,0.12,0.24,1
-0.05,-0.12,0.99,0.12,0.31,0.18,1
-0.05,-0.12,0.99,0.31,0.18,0.24,1
-0.05,-0.12,0.99,1.1,0.55,0.55,1
-0.05,-0.12,0.99,-0.24,0.18,0.12,1
-0.05,-0.12,0.99,0.85,0.24,0.55,1
-0.05,-0.12,0.99,0.79,0.31,0.12,1
-0.05,-0.12,0.99,0.92,0.31,0.43,1
-0.05,-0.12,0.99,0.31,0.37,0.31,1
-0.05,-0.12,0.99,0.55,0.24,0.24,1
-0.05,-0.12,0.99,0.18,0.18,0.43,1
-0.05,-0.12,0.99,0.37,0.31,0.61,1
-0.05,-0.13,0.99,1.22,0.92,0.31,1
-0.05,-0.13,0.99,0.85,0.31,0.37,1
-0.07,-0.19,0.98,-0.85,0.61,0,1
-0.06,-0.15,0.99,0.55,0.18,0.31,1
-0.06,-0.15,0.99,-0.31,0.18,0.18,1
-0.06,-0.15,0.99,1.04,0.43,0.49,1
-0.06,-0.15,0.99,0.73,0.18,0.55,1
-0.06,-0.15,0.99,0.55,0.24,0.37,1
-0.06,-0.15,0.99,-0.31,-0.06,0.55,1
-0.06,-0.12,0.99,-1.1,-0.79,0.37,1
-0.07,-0.11,0.99,0.06,0.31,0.55,1
-0.08,-0.16,0.97,0.61,-0.43,-0.24,1
-0.08,-0.16,0.98,0.43,0.61,0.43,1
-0.08,-0.15,0.98,0.55,-0.12,0.12,1
-0.08,-0.15,0.97,0.61,-0.43,-0.24,1
-0.08,-0.14,0.98,0.43,0.61,0.43,1
-0.08,-0.14,0.98,0.55,-0.12,0.12,1
-0.08,-0.14,0.98,0.18,0.18,0.24,1
-0.08,-0.14,0.98,0.37,0.37,0.43,1
-0.08,-0.14,0.98,-0.12,0.06,-0.18,1
-0.08,-0.14,0.94,14.04,4.39,4.58,1
-0.08,-0.14,0.98,0.37,-0.37,0.43,1
-0.08,-0.14,0.98,0.49,0.79,0.49,1
-0.08,-0.14,0.97,1.04,0.37,0.18,1
-0.08,-0.14,0.97,-0.12,0.12,0.43,1
-0.08,-0.14,0.98,0.37,0.31,0.61,1
-0.08,-0.14,0.97,0.79,-0.06,0.12,1
-0.08,-0.14,0.98,0.79,0.06,0.37,1
-0.08,-0.14,0.97,0.24,-0.12,0.12,1
-0.08,-0.14,0.98,0.12,-0.06,0.31,1
-0.08,-0.14,0.98,0,0.18,0.43,1
-0.08,-0.13,0.98,0.12,0,0.24,1
-0.08,-0.14,0.98,0.24,0.24,0.37,1
-0.08,-0.13,0.97,0.37,0.18,0.43,1
-0.09,-0.13,0.98,0.31,0.92,-0.98,1
-0.08,-0.13,0.98,-0.37,0.12,0.49,1
-0.08,-0.14,0.98,0,0.06,0.24,1
-0.08,-0.13,0.98,0.49,0.24,0.12,1
-0.09,-0.13,0.98,1.04,0.49,0.12,1
-0.09,-0.13,0.98,0.31,0.31,0.24,1
-0.09,-0.13,0.98,0.73,0.18,0.12,1
-0.09,-0.13,0.98,0.24,0.18,0.37,1
-0.09,-0.13,0.97,0.31,0.43,0.49,1
-0.09,-0.13,0.98,0.37,0.24,0.24,1
-0.09,-0.13,0.98,-1.34,0,-0.43,1
-0.09,-0.13,0.98,0.24,0.24,0.18,1
-0.09,-0.13,0.98,1.34,0.24,1.16,1
-0.09,-0.13,0.98,-0.12,0.06,0.31,1
-0.09,-0.13,0.98,0.43,0.18,0.18,1
-0.09,-0.13,0.98,-0.24,0.12,0.43,1
-0.09,-0.13,0.98,-0.37,0,0.24,1
-0.09,-0.13,0.98,-0.06,0.06,0.24,1
-0.09,-0.13,0.98,0.55,0.18,0.49,1
-0.09,-0.13,0.98,-0.06,0,0.12,1
-0.09,-0.13,0.98,-0.12,0.31,0.49,1
-0.09,-0.13,0.98,0.24,0.37,0.37,1
-0.09,-0.13,0.98,0.55,0.18,0.49,1
-0.09,-0.13,0.98,1.1,0.06,0.43,1
-0.09,-0.13,0.98,-0.06,0.31,0.37,1
-0.09,-0.13,0.98,0.12,0.12,0.37,1
-0.09,-0.13,0.98,0.12,0.06,0.18,1
-0.09,-0.13,0.98,0.55,0.18,0.31,1
-0.09,-0.13,0.98,0.43,0.06,0.24,1
-0.09,-0.13,0.98,0.18,0.18,0.37,1
-0.09,-0.13,0.98,0.67,0.24,0.24,1
-0.09,-0.13,0.98,0.67,0.18,0.31,1
-0.09,-0.13,0.98,0.61,0.18,0.37,1
-0.09,-0.13,0.98,0.43,0.31,0.55,1
-0.09,-0.13,0.98,0.12,0.49,0.18,1
-0.09,-0.13,0.98,0.18,0.24,0.12,1
-0.09,-0.13,0.98,0.37,0.24,0.24,1
-0.09,-0.13,0.98,0.49,0,0.24,1
-0.09,-0.13,0.97,0.06,0.18,0.31,1
-0.09,-0.13,0.98,0.37,0,0.37,1
-0.08,-0.13,0.98,0.18,0.12,0.31,1
-0.08,-0.12,0.98,0,0.12,0.37,1
-0.09,-0.11,0.98,0.49,0.18,0.43,1
-0.09,-0.13,0.98,0.18,0.24,0.18,1
-0.09,-0.14,0.98,0.55,-0.06,0.43,1
-0.1,-0.12,0.98,0.12,0.18,0.18,1
-0.1,-0.12,0.98,-0.06,0.12,0.18,1
-0.09,-0.09,0.97,0.18,0.12,0.43,1
-0.1,-0.12,0.98,0.24,0.12,0.31,1
-0.1,-0.09,0.98,0.24,0.12,0.24,1
-0.1,-0.1,0.98,0.37,0.12,0.24,1
-0.1,-0.1,0.98,0.06,0.18,0.31,1
-0.1,-0.09,0.98,0.12,0.18,0.31,1
-0.1,-0.09,0.98,0.24,0.31,0.37,1
-0.1,-0.09,0.98,-0.37,0,0.12,1
-0.1,-0.1,0.98,0.12,0.31,0.49,1
-0.1,-0.09,0.98,0.06,0.06,0.31,1
-0.1,-0.09,0.98,0.31,0.24,0.31,1
-0.1,-0.09,0.98,0.43,0.24,0.37,1
